"Configuration ID","enabled","network_leaf_modules","network_spine_modules","network_switch_connector","network_switch_cost","network_switch_model","network_switch_port_count","network_switch_power","network_switch_size","network_switch_weight","network_technology","network_vendor"
"1","True","0","0","QSFP","10460","Mellanox SX6036 (36 ports)","36","207","1","8","IB 4X FDR","Mellanox"
"2","True","6","3","QSFP","112830","Mellanox SX6506 (with 108 ports)","108","2611","7","77,3","IB 4X FDR","Mellanox"
"3","True","5","3","QSFP","103350","Mellanox SX6506 (with 90 ports)","90","2486","7","74,5","IB 4X FDR","Mellanox"
"4","True","4","3","QSFP","93870","Mellanox SX6506 (with 72 ports)","72","2361","7","71,7","IB 4X FDR","Mellanox"
"5","True","3","3","QSFP","84390","Mellanox SX6506 (with 54 ports)","54","2236","7","68,9","IB 4X FDR","Mellanox"
"6","True","2","3","QSFP","74910","Mellanox SX6506 (with 36 ports)","36","2111","7","66,1","IB 4X FDR","Mellanox"
"7","True","1","3","QSFP","65430","Mellanox SX6506 (with 18 ports)","18","1986","7","63,3","IB 4X FDR","Mellanox"
"8","True","36","18","QSFP","603550","Mellanox SX6536 (with 648 ports)","648","9072","31","327,4","IB 4X FDR","Mellanox"
"9","True","35","18","QSFP","594070","Mellanox SX6536 (with 630 ports)","630","8947","31","324,6","IB 4X FDR","Mellanox"
"10","True","34","18","QSFP","584590","Mellanox SX6536 (with 612 ports)","612","8822","31","321,8","IB 4X FDR","Mellanox"
"11","True","33","18","QSFP","575110","Mellanox SX6536 (with 594 ports)","594","8697","31","319","IB 4X FDR","Mellanox"
"12","True","32","18","QSFP","565630","Mellanox SX6536 (with 576 ports)","576","8572","31","316,2","IB 4X FDR","Mellanox"
"13","True","31","18","QSFP","556150","Mellanox SX6536 (with 558 ports)","558","8447","31","313,4","IB 4X FDR","Mellanox"
"14","True","30","18","QSFP","546670","Mellanox SX6536 (with 540 ports)","540","8322","31","310,6","IB 4X FDR","Mellanox"
"15","True","29","18","QSFP","537190","Mellanox SX6536 (with 522 ports)","522","8197","31","307,8","IB 4X FDR","Mellanox"
"16","True","28","18","QSFP","527710","Mellanox SX6536 (with 504 ports)","504","8072","31","305","IB 4X FDR","Mellanox"
"17","True","27","18","QSFP","518230","Mellanox SX6536 (with 486 ports)","486","7947","31","302,2","IB 4X FDR","Mellanox"
"18","True","26","18","QSFP","508750","Mellanox SX6536 (with 468 ports)","468","7822","31","299,4","IB 4X FDR","Mellanox"
"19","True","25","18","QSFP","499270","Mellanox SX6536 (with 450 ports)","450","7697","31","296,6","IB 4X FDR","Mellanox"
"20","True","24","18","QSFP","489790","Mellanox SX6536 (with 432 ports)","432","7572","31","293,8","IB 4X FDR","Mellanox"
"21","True","23","18","QSFP","480310","Mellanox SX6536 (with 414 ports)","414","7447","31","291","IB 4X FDR","Mellanox"
"22","True","22","18","QSFP","470830","Mellanox SX6536 (with 396 ports)","396","7322","31","288,2","IB 4X FDR","Mellanox"
"23","True","21","18","QSFP","461350","Mellanox SX6536 (with 378 ports)","378","7197","31","285,4","IB 4X FDR","Mellanox"
"24","True","20","18","QSFP","451870","Mellanox SX6536 (with 360 ports)","360","7072","31","282,6","IB 4X FDR","Mellanox"
"25","True","19","18","QSFP","442390","Mellanox SX6536 (with 342 ports)","342","6947","31","279,8","IB 4X FDR","Mellanox"
"26","True","18","18","QSFP","432910","Mellanox SX6536 (with 324 ports)","324","6822","31","277","IB 4X FDR","Mellanox"
"27","True","17","18","QSFP","423430","Mellanox SX6536 (with 306 ports)","306","6697","31","274,2","IB 4X FDR","Mellanox"
"28","True","16","18","QSFP","413950","Mellanox SX6536 (with 288 ports)","288","6572","31","271,4","IB 4X FDR","Mellanox"
"29","True","15","18","QSFP","404470","Mellanox SX6536 (with 270 ports)","270","6447","31","268,6","IB 4X FDR","Mellanox"
"30","True","14","18","QSFP","394990","Mellanox SX6536 (with 252 ports)","252","6322","31","265,8","IB 4X FDR","Mellanox"
"31","True","13","18","QSFP","385510","Mellanox SX6536 (with 234 ports)","234","6197","31","263","IB 4X FDR","Mellanox"
"32","True","12","18","QSFP","376030","Mellanox SX6536 (with 216 ports)","216","6072","31","260,2","IB 4X FDR","Mellanox"
"33","True","11","18","QSFP","366550","Mellanox SX6536 (with 198 ports)","198","5947","31","257,4","IB 4X FDR","Mellanox"
"34","True","10","18","QSFP","357070","Mellanox SX6536 (with 180 ports)","180","5822","31","254,6","IB 4X FDR","Mellanox"
"35","True","9","18","QSFP","347590","Mellanox SX6536 (with 162 ports)","162","5697","31","251,8","IB 4X FDR","Mellanox"
"36","True","8","18","QSFP","338110","Mellanox SX6536 (with 144 ports)","144","5572","31","249","IB 4X FDR","Mellanox"
"37","True","7","18","QSFP","328630","Mellanox SX6536 (with 126 ports)","126","5447","31","246,2","IB 4X FDR","Mellanox"
"38","True","6","18","QSFP","319150","Mellanox SX6536 (with 108 ports)","108","5322","31","243,4","IB 4X FDR","Mellanox"
"39","True","5","18","QSFP","309670","Mellanox SX6536 (with 90 ports)","90","5197","31","240,6","IB 4X FDR","Mellanox"
"40","True","4","18","QSFP","300190","Mellanox SX6536 (with 72 ports)","72","5072","31","237,8","IB 4X FDR","Mellanox"
"41","True","3","18","QSFP","290710","Mellanox SX6536 (with 54 ports)","54","4947","31","235","IB 4X FDR","Mellanox"
"42","True","2","18","QSFP","281230","Mellanox SX6536 (with 36 ports)","36","4822","31","232,2","IB 4X FDR","Mellanox"
"43","True","1","18","QSFP","271750","Mellanox SX6536 (with 18 ports)","18","4697","31","229,4","IB 4X FDR","Mellanox"
